FIGHTER_ID,FIRST,LAST,NICKNAME,URL
773f7feacf96153e,Benito,Lopez,Golden Boy,http://ufcstats.com/fighter-details/773f7feacf96153e
93b62c5f2ba18e51,Gustavo,Lopez,,http://ufcstats.com/fighter-details/93b62c5f2ba18e51
92b5f4ee9ff40321,Alik,Lorenz,,http://ufcstats.com/fighter-details/92b5f4ee9ff40321
b788862dd1c11eac,Brendan,Loughnane,,http://ufcstats.com/fighter-details/b788862dd1c11eac
cbf94e4c4af4ff6d,Nate,Loughran,,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d
42ac4020cba261ad,Caolan,Loughran,The Don,http://ufcstats.com/fighter-details/42ac4020cba261ad
e601d71cf8e5be22,Rashard,Lovelace,,http://ufcstats.com/fighter-details/e601d71cf8e5be22
eea0274e153256a0,Ian,Loveland,The Barn Owl,http://ufcstats.com/fighter-details/eea0274e153256a0
ad044be25c94dcfd,Jakob,Lovstad,The Striking Viking,http://ufcstats.com/fighter-details/ad044be25c94dcfd
28f62d866c59c709,Waylon,Lowe,,http://ufcstats.com/fighter-details/28f62d866c59c709
78ac94d54aa7f378,Brandon,Lowe,,http://ufcstats.com/fighter-details/78ac94d54aa7f378
86248c84834238e7,Joe,Lowry,,http://ufcstats.com/fighter-details/86248c84834238e7
a2d23e684b3db732,Lu,Kai,The Last Gladiator,http://ufcstats.com/fighter-details/a2d23e684b3db732
dc1bfd47c3b21ad3,Lu,Zhengyong,,http://ufcstats.com/fighter-details/dc1bfd47c3b21ad3
96087e90d900f0ef,Robert,Lucarelli,,http://ufcstats.com/fighter-details/96087e90d900f0ef
668222c99c5c311d,Matt,Lucas,Luke Duke,http://ufcstats.com/fighter-details/668222c99c5c311d
9bdebbf2735d14c2,Cleber,Luciano,,http://ufcstats.com/fighter-details/9bdebbf2735d14c2
1b35af4d1529adf6,Stephanie,Luciano,Rondinha,http://ufcstats.com/fighter-details/1b35af4d1529adf6
abcf2cc6efc42031,Iasmin,Lucindo,,http://ufcstats.com/fighter-details/abcf2cc6efc42031
84ac950d4c1722dd,Duane,Ludwig,Bang,http://ufcstats.com/fighter-details/84ac950d4c1722dd
a1ad35b98a9136e5,Lawrence,Lui,Lok Yin,http://ufcstats.com/fighter-details/a1ad35b98a9136e5
e26882820f9e8df5,Mike,Lullo,,http://ufcstats.com/fighter-details/e26882820f9e8df5
1fd9f744105024a8,Juan Andres,Luna,,http://ufcstats.com/fighter-details/1fd9f744105024a8
5b1effb0db45273a,Paula,Luna,La Prodigia,http://ufcstats.com/fighter-details/5b1effb0db45273a
e3b30b573e7f0d19,Juan Adrian,Luna,,http://ufcstats.com/fighter-details/e3b30b573e7f0d19
ce632027bf2a871b,Dalcha,Lungiambula,Champion,http://ufcstats.com/fighter-details/ce632027bf2a871b
4887e5bc4dbb73ff,Alexandru,Lungu,,http://ufcstats.com/fighter-details/4887e5bc4dbb73ff
6d4b63c767106d3a,Vicente,Luque,The Silent Assassin,http://ufcstats.com/fighter-details/6d4b63c767106d3a
505934897b8b4824,Thaddeus,Luster,,http://ufcstats.com/fighter-details/505934897b8b4824
622f015c81a9b13a,Travis,Lutter,The Serial Killer,http://ufcstats.com/fighter-details/622f015c81a9b13a
12630a4aa0894da8,Joilton,Lutterbach,Peregrino,http://ufcstats.com/fighter-details/12630a4aa0894da8
7832f2f62f04178f,Tucker,Lutz,Top Gun,http://ufcstats.com/fighter-details/7832f2f62f04178f
5a4913108a3b9190,Lv,Zhenhong,,http://ufcstats.com/fighter-details/5a4913108a3b9190
710d93f1508f7104,Stevie,Lynch,,http://ufcstats.com/fighter-details/710d93f1508f7104
edfe95e3c33a4bf8,Adam,Lynn,,http://ufcstats.com/fighter-details/edfe95e3c33a4bf8
91acd6910b802a9e,Chris,Lytle,Lights Out,http://ufcstats.com/fighter-details/91acd6910b802a9e
98a6b2361045898f,Dong Hyun,Ma,Maestro,http://ufcstats.com/fighter-details/98a6b2361045898f
450bacdacd706bcd,Pawan,Maan,,http://ufcstats.com/fighter-details/450bacdacd706bcd
ed74afc8b5b47a61,William,Macario,Patolino,http://ufcstats.com/fighter-details/ed74afc8b5b47a61
2be6596a9db33bf5,Jason,MacDonald,The Athlete,http://ufcstats.com/fighter-details/2be6596a9db33bf5
f3388d2cf7ab3f64,Rob,MacDonald,Maximus,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64
cbd5d3cdd862e90e,Rory,MacDonald,Red King,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e
35e1f9984ed64206,Ryan,MacDonald,Main Event,http://ufcstats.com/fighter-details/35e1f9984ed64206
39831e62d12e7ad1,Clayton,MacFarlane,,http://ufcstats.com/fighter-details/39831e62d12e7ad1
8cf90e41646491fd,Ilima,Macfarlane,,http://ufcstats.com/fighter-details/8cf90e41646491fd
a1a91dbf41a029c4,Valesca,Machado,Tina Black,http://ufcstats.com/fighter-details/a1a91dbf41a029c4
89839250eb25c9c1,Caio,Machado,Bigfoot,http://ufcstats.com/fighter-details/89839250eb25c9c1
442c9011034ae1fd,Ian,Machado Garry,The Future,http://ufcstats.com/fighter-details/442c9011034ae1fd
f7a7f7118d4b01b6,Lyoto,Machida,The Dragon,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6
cd7bafbeee1f29a0,War,Machine,,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0
dedc3bb440d09554,Anthony,Macias,Mad Dog,http://ufcstats.com/fighter-details/dedc3bb440d09554
e88b83dea18f5d31,Pauline,Macias,PITA,http://ufcstats.com/fighter-details/e88b83dea18f5d31
e25bcbcdaf6537a1,Reza,Madadi,Mad Dog,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1
68c7ad953455c73f,Don,Madge,Magic Man,http://ufcstats.com/fighter-details/68c7ad953455c73f
a8d521d913df4e31,Ryan,Madigan,,http://ufcstats.com/fighter-details/a8d521d913df4e31
cc63a5f0089d8ba9,Victor,Madrigal,Periquito,http://ufcstats.com/fighter-details/cc63a5f0089d8ba9
7691a80e6ca3e55b,Jon,Madsen,,http://ufcstats.com/fighter-details/7691a80e6ca3e55b
da0995f19b749cfa,Mark,Madsen,The Olympian,http://ufcstats.com/fighter-details/da0995f19b749cfa
